Rok;Miesiąc;Dzień;Temperatura;Wiatr
2021;1;1;-2.8;5.7
2021;1;2;-1.9;8.0
2021;1;3;-.5;8.0
2021;1;4;.3;8.0
2021;1;5;-.2;8.0
2021;1;6;-.5;8.0
2021;1;7;-.9;8.0
2021;1;8;-.8;7.7
2021;1;9;-.8;8.0
2021;1;10;-1.0;8.0
2021;1;11;-4.0;1.3
2021;1;12;-.9;8.0
2021;1;13;-.3;6.3
2021;1;14;-1.1;8.0
2021;1;15;-2.3;8.0
2021;1;16;-4.8;8.0
2021;1;17;-11.7;3.3
2021;1;18;-8.6;8.0
2021;1;19;-.2;8.0
2021;1;20;3.9;7.7
2021;1;21;5.3;6.0
2021;1;22;7.7;5.7
2021;1;23;3.8;8.0
2021;1;24;.9;6.7
2021;1;25;.3;8.0
2021;1;26;-.4;5.7
2021;1;27;-.1;6.7
2021;1;28;-.1;8.0
2021;1;29;-1.0;8.0
2021;1;30;.0;8.0
2021;1;31;-7.5;3.3
2021;2;1;-10.6;.7
2021;2;2;-.5;7.3
2021;2;3;5.9;8.0
2021;2;4;4.8;8.0
2021;2;5;.3;8.0
2021;2;6;-1.5;8.0
2021;2;7;-6.6;8.0
2021;2;8;-9.5;8.0
2021;2;9;-9.7;8.0
2021;2;10;-9.3;8.0
2021;2;11;-9.0;8.0
2021;2;12;-9.7;6.7
2021;2;13;-5.9;7.3
2021;2;14;-7.7;1.0
2021;2;15;-10.7;1.7
2021;2;16;-2.3;8.0
2021;2;17;2.6;8.0
2021;2;18;3.8;8.0
2021;2;19;4.4;3.7
2021;2;20;4.1;2.7
2021;2;21;4.6;1.3
2021;2;22;4.9;3.3
2021;2;23;7.0;2.7
2021;2;24;12.0;3.0
2021;2;25;10.0;.3
2021;2;26;7.7;3.3
2021;2;27;3.8;7.0
2021;2;28;3.8;3.0
2021;3;1;2.6;8.0
2021;3;2;4.5;1.0
2021;3;3;6.7;3.0
2021;3;4;4.6;8.0
2021;3;5;1.3;5.0
2021;3;6;-.1;1.0
2021;3;7;.8;5.3
2021;3;8;-.1;5.3
2021;3;9;-1.4;3.0
2021;3;10;-1.3;1.0
2021;3;11;2.3;8.0
2021;3;12;5.9;5.0
2021;3;13;6.8;7.7
2021;3;14;5.1;6.0
2021;3;15;4.0;5.7
2021;3;16;2.8;8.0
2021;3;17;1.3;8.0
2021;3;18;.7;5.0
2021;3;19;.5;8.0
2021;3;20;-3.3;7.3
2021;3;21;-.3;8.0
2021;3;22;1.5;5.3
2021;3;23;3.2;8.0
2021;3;24;4.6;8.0
2021;3;25;7.5;4.7
2021;3;26;10.3;1.7
2021;3;27;8.8;4.7
2021;3;28;5.2;5.0
2021;3;29;9.5;8.0
2021;3;30;13.4;2.0
2021;3;31;13.9;2.0
2021;4;1;14.2;5.7
2021;4;2;6.2;8.0
2021;4;3;3.0;8.0
2021;4;4;3.9;2.3
2021;4;5;5.3;6.0
2021;4;6;.2;4.3
2021;4;7;1.9;3.7
2021;4;8;3.2;5.0
2021;4;9;5.6;5.0
2021;4;10;9.5;7.3
2021;4;11;8.9;5.3
2021;4;12;5.9;8.0
2021;4;13;3.1;8.0
2021;4;14;3.0;8.0
2021;4;15;.8;8.0
2021;4;16;2.0;8.0
2021;4;17;4.0;8.0
2021;4;18;5.9;8.0
2021;4;19;8.2;8.0
2021;4;20;9.0;5.7
2021;4;21;11.1;4.3
2021;4;22;6.9;2.7
2021;4;23;6.3;3.3
2021;4;24;7.0;7.3
2021;4;25;4.8;5.0
2021;4;26;3.9;6.7
2021;4;27;4.8;.3
2021;4;28;8.6;3.3
2021;4;29;13.4;8.0
2021;4;30;11.9;3.7
2021;5;1;9.0;8.0
2021;5;2;8.0;8.0
2021;5;3;6.9;4.3
2021;5;4;11.2;8.0
2021;5;5;10.3;8.0
2021;5;6;8.2;6.3
2021;5;7;8.5;7.0
2021;5;8;8.5;2.0
2021;5;9;13.7;2.0
2021;5;10;18.6;1.3
2021;5;11;19.7;1.7
2021;5;12;17.5;3.7
2021;5;13;13.2;8.0
2021;5;14;11.8;8.0
2021;5;15;12.4;5.7
2021;5;16;12.6;3.7
2021;5;17;11.5;7.7
2021;5;18;12.5;4.7
2021;5;19;10.8;6.0
2021;5;20;11.2;5.0
2021;5;21;12.2;7.3
2021;5;22;12.5;5.3
2021;5;23;10.7;6.0
2021;5;24;12.3;7.3
2021;5;25;12.1;8.0
2021;5;26;10.5;7.7
2021;5;27;12.6;6.7
2021;5;28;10.5;7.7
2021;5;29;11.2;5.0
2021;5;30;11.1;7.7
2021;5;31;13.2;2.7
2021;6;1;13.6;4.3
2021;6;2;15.8;3.3
2021;6;3;15.3;.0
2021;6;4;17.2;3.7
2021;6;5;19.1;1.7
2021;6;6;18.5;1.7
2021;6;7;19.2;1.0
2021;6;8;21.2;.7
2021;6;9;19.9;1.3
2021;6;10;18.2;4.7
2021;6;11;19.1;4.0
2021;6;12;18.3;7.7
2021;6;13;13.1;8.0
2021;6;14;15.3;2.7
2021;6;15;19.0;3.7
2021;6;16;20.8;4.0
2021;6;17;21.8;.7
2021;6;18;24.0;1.3
2021;6;19;24.1;.7
2021;6;20;24.1;3.3
2021;6;21;23.7;5.3
2021;6;22;20.4;7.0
2021;6;23;19.2;7.7
2021;6;24;20.0;3.7
2021;6;25;17.2;6.0
2021;6;26;17.6;6.7
2021;6;27;19.9;1.7
2021;6;28;20.7;1.7
2021;6;29;21.1;7.0
2021;6;30;19.2;5.7
2021;7;1;18.1;4.7
2021;7;2;16.8;7.7
2021;7;3;18.7;7.0
2021;7;4;19.0;4.7
2021;7;5;19.5;3.7
2021;7;6;22.6;.7
2021;7;7;20.3;5.7
2021;7;8;18.1;8.0
2021;7;9;19.7;7.3
2021;7;10;19.0;3.7
2021;7;11;18.8;5.3
2021;7;12;20.3;5.3
2021;7;13;21.9;5.0
2021;7;14;22.0;7.3
2021;7;15;20.6;4.3
2021;7;16;21.6;5.0
2021;7;17;22.2;5.3
2021;7;18;21.6;4.0
2021;7;19;18.8;5.7
2021;7;20;16.6;5.3
2021;7;21;16.4;5.0
2021;7;22;17.3;7.7
2021;7;23;19.9;5.0
2021;7;24;20.2;1.0
2021;7;25;20.2;4.7
2021;7;26;21.7;5.3
2021;7;27;22.7;2.0
2021;7;28;21.4;6.7
2021;7;29;20.5;1.7
2021;7;30;20.7;2.0
2021;7;31;21.6;3.7
2021;8;1;16.5;8.0
2021;8;2;16.6;8.0
2021;8;3;18.0;3.3
2021;8;4;16.7;7.7
2021;8;5;15.2;8.0
2021;8;6;17.0;6.3
2021;8;7;19.6;4.0
2021;8;8;19.7;5.7
2021;8;9;18.9;1.3
2021;8;10;19.5;5.0
2021;8;11;18.5;3.0
2021;8;12;18.2;4.0
2021;8;13;21.3;3.0
2021;8;14;23.5;1.7
2021;8;15;22.6;2.7
2021;8;16;22.4;7.0
2021;8;17;15.4;7.3
2021;8;18;15.5;5.0
2021;8;19;17.8;7.7
2021;8;20;18.2;8.0
2021;8;21;17.6;2.7
2021;8;22;18.5;6.7
2021;8;23;18.3;6.3
2021;8;24;14.3;7.7
2021;8;25;14.9;2.7
2021;8;26;14.1;6.3
2021;8;27;13.2;7.3
2021;8;28;13.4;7.3
2021;8;29;14.2;7.3
2021;8;30;12.5;7.7
2021;8;31;14.0;8.0
2021;9;1;15.4;4.7
2021;9;2;15.3;2.7
2021;9;3;16.2;4.0
2021;9;4;14.9;4.3
2021;9;5;13.3;3.0
2021;9;6;12.9;.7
2021;9;7;16.3;6.7
2021;9;8;16.2;1.0
2021;9;9;16.6;.0
2021;9;10;20.0;1.0
2021;9;11;19.6;3.7
2021;9;12;17.9;5.3
2021;9;13;16.3;7.7
2021;9;14;16.4;1.3
2021;9;15;18.0;5.7
2021;9;16;18.3;8.0
2021;9;17;13.7;7.7
2021;9;18;12.8;8.0
2021;9;19;10.2;8.0
2021;9;20;10.0;7.3
2021;9;21;10.1;8.0
2021;9;22;10.7;8.0
2021;9;23;13.9;4.3
2021;9;24;14.2;6.0
2021;9;25;16.6;6.7
2021;9;26;14.8;2.3
2021;9;27;13.8;6.3
2021;9;28;15.1;8.0
2021;9;29;11.2;8.0
2021;9;30;11.6;1.7
2021;10;1;8.5;1.3
2021;10;2;13.5;1.7
2021;10;3;14.6;1.3
2021;10;4;17.1;3.7
2021;10;5;16.6;6.0
2021;10;6;13.8;8.0
2021;10;7;11.4;8.0
2021;10;8;6.6;5.0
2021;10;9;4.7;.7
2021;10;10;3.8;.3
2021;10;11;5.3;5.7
2021;10;12;7.5;7.3
2021;10;13;5.5;7.3
2021;10;14;5.5;8.0
2021;10;15;10.7;7.7
2021;10;16;8.0;7.7
2021;10;17;8.8;8.0
2021;10;18;8.5;6.3
2021;10;19;11.0;4.7
2021;10;20;15.1;6.3
2021;10;21;13.0;5.0
2021;10;22;7.9;3.7
2021;10;23;5.9;3.7
2021;10;24;5.1;.3
2021;10;25;8.3;2.0
2021;10;26;9.3;6.0
2021;10;27;9.5;4.7
2021;10;28;8.8;.7
2021;10;29;10.4;1.0
2021;10;30;12.4;1.0
2021;10;31;12.6;3.0
2021;11;1;11.3;3.3
2021;11;2;8.5;6.0
2021;11;3;7.3;4.3
2021;11;4;10.1;7.0
2021;11;5;7.0;7.3
2021;11;6;6.5;1.0
2021;11;7;6.1;7.3
2021;11;8;6.3;6.7
2021;11;9;5.5;3.3
2021;11;10;6.3;2.3
2021;11;11;5.9;1.0
2021;11;12;2.5;8.0
2021;11;13;5.5;6.0
2021;11;14;4.7;8.0
2021;11;15;3.8;8.0
2021;11;16;4.6;4.0
2021;11;17;5.6;7.7
2021;11;18;6.0;6.3
2021;11;19;7.9;8.0
2021;11;20;9.1;7.7
2021;11;21;6.4;8.0
2021;11;22;4.5;7.7
2021;11;23;.8;5.7
2021;11;24;4.0;8.0
2021;11;25;1.5;5.7
2021;11;26;1.2;8.0
2021;11;27;.6;4.3
2021;11;28;.4;7.7
2021;11;29;-.2;6.0
2021;11;30;1.2;8.0
2021;12;1;3.4;7.0
2021;12;2;4.0;4.3
2021;12;3;-.8;1.0
2021;12;4;.5;7.3
2021;12;5;1.3;8.0
2021;12;6;-.5;8.0
2021;12;7;-1.6;8.0
2021;12;8;-3.0;8.0
2021;12;9;-1.2;8.0
2021;12;10;-2.0;3.3
2021;12;11;-.8;8.0
2021;12;12;-1.9;2.7
2021;12;13;.4;8.0
2021;12;14;3.6;8.0
2021;12;15;5.3;7.3
2021;12;16;5.9;7.3
2021;12;17;4.2;7.3
2021;12;18;3.0;8.0
2021;12;19;4.6;5.7
2021;12;20;1.5;8.0
2021;12;21;-1.9;8.0
2021;12;22;-4.0;5.7
2021;12;23;-3.0;8.0
2021;12;24;3.2;8.0
2021;12;25;-4.3;5.3
2021;12;26;-10.6;1.0
2021;12;27;-9.6;1.7
2021;12;28;-2.7;6.0
2021;12;29;2.9;8.0
2021;12;30;6.3;7.7
2021;12;31;10.5;7.0
